2016-11-15, 22:12:04, 98000000, 100500000, 78125.00, 5120, -8.61, -8.06, -1.#J, -11.53, -1.#J, -10.73, -15.08, -8.92, -1.#J, -10.22, -8.22, -12.77, -8.49, -9.75, -1.#J, -1.#J, -8.16, -8.16, -11.02, -1.#J, -1.#J, -1.#J, -1.#J, -9.87, -10.98, -11.27, -10.85, -8.07, -12.83, -12.48, -1.#J, -1.#J, -1.#J
2016-11-15, 22:12:04, 100500000, 103000000, 78125.00, 5120, -1.#J, -1.#J, -15.10, -11.14, -1.#J, -11.11, -11.32, -1.#J, -1.#J, -1.#J, -1.#J, -12.48, -10.12, -7.88, -1.#J, -1.#J, -1.#J, -1.#J, -8.62, -21.47, -10.40, -8.03, -9.94, -1.#J, -1.#J, -1.#J, -1.#J, -12.62, -1.#J, -8.24, -1.#J, -1.#J, -1.#J
2016-11-15, 22:12:04, 103000000, 105500000, 78125.00, 5120, -1.#J, -11.21, -11.47, -10.08, -14.96, -1.#J, -1.#J, -12.00, -1.#J, -9.40, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -10.76, -10.76, -1.#J, -1.#J, -15.03, -16.25, -12.50, -14.08, -9.52, -20.61, -8.38, -1.#J, -1.#J, -1.#J, -9.89, -1.#J, -1.#J
2016-11-15, 22:12:04, 105500000, 108000000, 78125.00, 5120, -13.57, -8.04, -15.30, -7.92, -10.17, -10.77, -17.08, -8.91, -1.#J, -11.40, -1.#J, -1.#J, -7.77, -10.74, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -10.13, -12.25, -1.#J, -1.#J, -1.#J, -11.64, -1.#J, -1.#J, -23.56, -1.#J, -7.91, -16.81, -11.95, -11.95
2016-11-15, 22:12:14, 88000000, 90500000, 78125.00, 5376, -1.#J, -1.#J, -10.59, -1.#J, -8.99, -9.05, -1.#J, -8.37, -8.24, -10.72, -1.#J, -1.#J, -1.#J, -1.#J, -8.14, -1.#J, -1.#J, -1.#J, -8.72, -1.#J, -1.#J, -11.58, -1.#J, -30.21, -9.40, -1.#J, -1.#J, -1.#J, -8.79, -1.#J, -1.#J, -1.#J, -1.#J
2016-11-15, 22:12:14, 90500000, 93000000, 78125.00, 5376, -1.#J, -1.#J, -10.58, -19.02, -10.01, -15.59, -11.77, -1.#J, -1.#J, -9.57, -9.65, -1.#J, -1.#J, -9.85, -1.#J, -9.67, -10.96, -10.96, -1.#J, -13.32, -1.#J, -10.72, -11.91, -11.94, -1.#J, -1.#J, -11.39, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J
2016-11-15, 22:12:14, 93000000, 95500000, 78125.00, 5376, -9.24, -1.#J, -1.#J, -9.59, -11.03, -1.#J, -8.61, -1.#J, -12.35, -1.#J, -13.56, -1.#J, -1.#J, -13.17, -17.93, -1.#J, -8.62, -8.62, -10.81, -17.52, -10.04, -7.97, -1.#J, -1.#J, -17.25, -1.#J, -1.#J, -12.32, -1.#J, -13.37, -1.#J, -1.#J, -1.#J
2016-11-15, 22:12:14, 95500000, 98000000, 78125.00, 5376, -1.#J, -1.#J, -13.81, -9.16, -1.#J, -1.#J, -9.26, -10.39, -1.#J, -15.65, -8.00, -1.#J, -21.26, -9.10, -1.#J, -1.#J, -12.66, -12.66, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -10.87, -1.#J, -1.#J, -8.64, -11.13, -1.#J, -1.#J, -1.#J, -1.#J
2016-11-15, 22:12:14, 98000000, 100500000, 78125.00, 5376, -8.48, -1.#J, -1.#J, -9.60, -12.94, -8.43, -8.19, -1.#J, -1.#J, -8.71, -1.#J, -1.#J, -1.#J, -8.33, -1.#J, -1.#J, -1.#J, -1.#J, -10.48, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -9.08, -9.66, -13.29, -1.#J, -11.61, -10.44, -1.#J, -1.#J, -1.#J
2016-11-15, 22:12:14, 100500000, 103000000, 78125.00, 5376, -1.#J, -1.#J, -16.50, -12.78, -1.#J, -10.08, -18.68, -1.#J, -1.#J, -1.#J, -1.#J, -25.21, -8.62, -9.02, -1.#J, -1.#J, -1.#J, -1.#J, -10.83, -19.98, -9.51, -10.09, -14.44, -1.#J, -1.#J, -1.#J, -1.#J, -9.42, -1.#J, -8.50, -1.#J, -1.#J, -1.#J
2016-11-15, 22:12:14, 103000000, 105500000, 78125.00, 5376, -1.#J, -11.81, -1.#J, -1.#J, -11.33, -1.#J, -1.#J, -8.16, -1.#J, -1.#J, -18.23, -9.65, -10.82, -1.#J, -16.27, -1.#J, -8.35, -8.35, -1.#J, -1.#J, -13.65, -11.41, -8.68, -10.77, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -9.72, -1.#J, -1.#J
2016-11-15, 22:12:14, 105500000, 108000000, 78125.00, 5376, -12.40, -1.#J, -1.#J, -1.#J, -9.56, -10.20, -30.81, -9.98, -13.57, -11.11, -1.#J, -1.#J, -1.#J, -1.#J, -19.28, -1.#J, -1.#J, -1.#J, -1.#J, -9.55, -10.14, -1.#J, -1.#J, -1.#J, -11.45, -1.#J, -1.#J, -10.91, -1.#J, -1.#J, -18.80, -10.83, -10.83
2016-11-15, 22:12:24, 88000000, 90500000, 78125.00, 5376, -1.#J, -8.03, -11.61, -1.#J, -1.#J, -11.51, -1.#J, -19.65, -15.61, -13.02, -1.#J, -9.11, -1.#J, -1.#J, -9.82, -1.#J, -1.#J, -1.#J, -10.12, -1.#J, -8.61, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -8.21, -1.#J, -1.#J, -9.03, -22.65, -22.65
2016-11-15, 22:12:24, 90500000, 93000000, 78125.00, 5376, -25.22, -9.20, -12.23, -9.88, -9.87, -1.#J, -1.#J, -9.42, -1.#J, -9.21, -1.#J, -23.58, -1.#J, -9.76, -1.#J, -8.74, -11.83, -11.83, -8.02, -10.66, -9.49, -12.57, -11.26, -12.15, -1.#J, -1.#J, -11.63, -1.#J, -1.#J, -1.#J, -1.#J, -9.51, -9.51
2016-11-15, 22:12:24, 93000000, 95500000, 78125.00, 5376, -9.69, -1.#J, -1.#J, -10.69, -13.44, -1.#J, -1.#J, -1.#J, -14.42, -1.#J, -12.25, -1.#J, -1.#J, -9.81, -12.77, -16.83, -1.#J, -1.#J, -11.16, -22.35, -11.06, -1.#J, -1.#J, -1.#J, -21.51, -1.#J, -1.#J, -1.#J, -1.#J, -12.55, -1.#J, -1.#J, -1.#J
